"State","Tax on In-State Muni Bond Income","Tax on Out-of-State Muni Bond Income"
"Alabama","Exempt","Taxed"
"Alaska","No state income tax","No state income tax"
"Arizona","Exempt","Taxed"
"Arkansas","Exempt","Taxed"
"California","Exempt","Taxed"
"Colorado","Exempt","Taxed"
"Connecticut","Exempt","Taxed"
"Delaware","Exempt","Taxed"
"Florida","No state income tax","No state income tax"
"Georgia","Exempt","Taxed"
"Hawaii","Exempt","Taxed"
"Idaho","Exempt","Taxed"
"Illinois","Taxed*","Taxed"
"Indiana","Taxed","Taxed"
"Iowa","Taxed*","Taxed"
"Kansas","Exempt","Taxed"
"Kentucky","Exempt","Taxed"
"Louisiana","Exempt","Taxed"
"Maine","Exempt","Taxed"
"Maryland","Exempt","Taxed"
"Massachusetts","Exempt","Taxed"
"Michigan","Exempt","Taxed"
"Minnesota","Exempt","Taxed"
"Mississippi","Exempt","Taxed"
"Missouri","Exempt","Taxed"
"Montana","Exempt","Taxed"
"Nebraska","Exempt","Taxed"
"Nevada","No state income tax","No state income tax"
"New Hampshire","No state income tax","No state income tax"
"New Jersey","Exempt","Taxed"
"New Mexico","Exempt","Taxed"
"New York","Exempt","Taxed"
"North Carolina","Exempt","Taxed"
"North Dakota","Exempt","Taxed"
"Ohio","Exempt","Taxed"
"Oklahoma","Taxed*","Taxed"
"Oregon","Exempt","Taxed"
"Pennsylvania","Exempt","Taxed"
"Rhode Island","Exempt","Taxed"
"South Carolina","Exempt","Taxed"
"South Dakota","No state income tax","No state income tax"
"Tennessee","No state income tax","No state income tax"
"Texas","No state income tax","No state income tax"
"Utah","Taxed","Taxed"
"Vermont","Exempt","Taxed"
"Virginia","Exempt","Taxed"
"Washington","No state income tax","No state income tax"
"West Virginia","Exempt","Taxed"
"Wisconsin","Taxed*","Taxed"
"Wyoming","No state income tax","No state income tax"
