cusip,name,type,issuer_state,coupon,price,ytm,call_date,pension_score,budget_score,maturity_year
AAA00001,NYC GO 2029,GO,NY,4.25,102.10,3.85,2029-06-01,72,81,2029
AAA00002,CA Water Rev 2031,Revenue,CA,5.00,98.90,5.12,2030-12-01,78,74,2031
AAA00003,FL Turnpike 2030,Revenue,FL,4.10,101.20,3.70,No,80,86,2030
AAA00004,TX ISD 2032,GO,TX,4.60,99.10,4.75,2031-07-01,61,74,2032
AAA00005,NJ Transportation 2028,Revenue,NJ,4.90,97.80,5.30,2028-05-01,58,64,2028
AAA00006,IL GO 2033,GO,IL,5.20,96.50,5.40,2032-09-01,55,60,2033
AAA00007,CA Univ Rev 2029,Revenue,CA,4.00,103.30,3.40,No,83,72,2029
AAA00008,NY Dorm Auth 2034,Revenue,NY,4.75,100.20,4.70,2033-08-01,69,79,2034
AAA00009,FL Port Auth 2031,Revenue,FL,4.30,100.90,4.10,No,77,82,2031
AAA00010,TX Toll Rev 2035,Revenue,TX,5.10,98.10,5.20,2034-11-01,66,71,2035
AAA00011,IL Tollway 2030,Revenue,IL,4.60,99.70,4.65,No,63,67,2030
AAA00012,NJ Muni Imp 2032,GO,NJ,4.85,98.60,5.00,2031-06-01,60,66,2032
AAA00013,CA CCD 2030,GO,CA,4.20,101.50,3.85,No,81,73,2030
AAA00014,NYC H+H 2033,Revenue,NY,5.00,97.90,5.25,2032-03-01,70,76,2033
AAA00015,TX Water Dev 2031,Revenue,TX,4.40,100.10,4.30,No,74,78,2031
